key,bmoId,title,status,fixVersions,timespent,created,labels
BMO00023-231,162,OM Migration - user is not redirected to OM site- User is prompted for Username and password,Done,Release 20/Jul/16,,2016-07-14T05:06:53.000-0400,"BMO,Configuration"
BMO00023-226,163,OM Migration - Procedure Library link is broken,Done,Release 20/Jul/16,,2016-07-14T05:05:31.000-0400,Configuration
BMO00023-240,164,OM Migration - Task Search Page is not rendered properly English&French,Open,,,2016-07-14T05:09:09.000-0400,
BMO00023-232,165,OM Migration - Task Page - Search results table is cut off,Done,Release 20/Jul/16,18000,2016-07-14T05:07:20.000-0400,
BMO00023-241,166,OM Migration - language is incorrect,Open,,,2016-07-14T05:09:20.000-0400,
BMO00023-233,167,OM Migration - My Management Tasks - table is cut off,Done,Release 20/Jul/16,25200,2016-07-14T05:07:35.000-0400,
BMO00023-234,168,OM Migration - View/Update Executive Backups,Done,Release 20/Jul/16,18000,2016-07-14T05:07:46.000-0400,
BMO00023-235,169,OM Migration - adding new marketing backup throws an error,Done,Release 20/Jul/16,14400,2016-07-14T05:07:57.000-0400,Question
BMO00023-227,170,OM Migration - Error on My Assigned Tasks/Switch to Calendar View,Done,Release 20/Jul/16,43200,2016-07-14T05:05:56.000-0400,
BMO00023-228,171,OM Migration - Error on selecting View/Update Task Assignments link,Done,Release 20/Jul/16,28800,2016-07-14T05:06:13.000-0400,
BMO00023-229,172,OM Migration - Error on selecting BOD Node link,Done,Release 20/Jul/16,43200,2016-07-14T05:06:24.000-0400,
BMO00023-236,173,OM Migration - Welcome and New/updated sections are missing,Open,,,2016-07-14T05:08:07.000-0400,Configuration
BMO00023-230,174,OM Migration - Reports are not displayed,Done,Release 20/Jul/16,,2016-07-14T05:06:37.000-0400,Configuration
BMO00023-242,175,OM Migration-Create Tasks - Task Entry form page not displayed properly,Done,Release 20/Jul/16,21600,2016-07-14T05:09:31.000-0400,
BMO00023-237,176,OM Migration- Manage Site Users Form page - Page displayed properly,In Progress,,21600,2016-07-14T05:08:19.000-0400,
BMO00023-238,177,"OM Migration- Feedback page - Calendar tool is missing for the ""Date From"" and ""Date To""  fields",Open,,18000,2016-07-14T05:08:28.000-0400,
BMO00023-239,178,OM Migration- Manage Locations Form- Move location page display,Open,,12600,2016-07-14T05:08:53.000-0400,
BMO00023-243,179,OM Migration- Manage Locations Form- Select a community then error page displayed,Open,,,2016-07-14T05:09:42.000-0400,
BMO00023-259,180,OM Migration - Left Nav - missing links for Admin role,Open,,,2016-07-21T10:07:15.000-0400,
BMO00023-260,181,OM Migration - Add New User - Division dropdown shown not only when role=divisional office manager,Ready for Approval,,7200,2016-07-21T10:07:40.000-0400,premigration
BMO00023-261,182,OM Migration - Manage Site User - Name is not hyperlink,Ready for Approval,,10800,2016-07-21T10:07:54.000-0400,
BMO00023-262,183,OM Migration - Role dropdown field is not shown for Divisioanl Office - Employee Role,Ready for Approval,,3600,2016-07-21T10:08:08.000-0400,
BMO00023-255,184,"OM Migration-  an error page is displayed whenUser clicks ""Select"" on the feedback maintainance page",Done,Release 20/Jul/16,18000,2016-07-20T13:15:24.000-0400,
BMO00023-263,185,OM Migration -  Left navigation bar has different links when the user switches between french and English site,Open,,,2016-07-21T10:08:56.000-0400,
BMO00023-264,186,OM Migration - Update PC PO Employees - Sites users table is cutoff,Open,,,2016-07-21T10:09:24.000-0400,
BMO00023-265,187,OM Migration - PC PO process details page should be displayed as a pop-up window,In Progress,,7200,2016-07-21T10:09:37.000-0400,
BMO00023-257,188,OM Migration - Branch Task Assignment page  displays an error page,Done,Release 20/Jul/16,21600,2016-07-20T13:21:17.000-0400,
BMO00023-266,189,"OM Migration - Text  ""BOP"" is displayed on user home page",Open,,,2016-07-21T10:10:52.000-0400,
BMO00023-267,190,"OM Migration -  Tasks table "" Overdue "" column right border is displayed in red color",Open,,,2016-07-21T10:11:01.000-0400,
BMO00023-268,191,OM Migration- Manage Backup Form pages - All tables  Header row shading is missing and subheading should be bold font,Open,,,2016-07-21T10:11:12.000-0400,
BMO00023-269,192,OM Migration - Page does not refresh after executive Backup user is deleted from table,Open,,,2016-07-21T10:11:29.000-0400,
BMO00023-270,193,OM Migration - Make all buttons in the application display as active button instead of text with border,Open,,,2016-07-21T10:11:51.000-0400,
BMO00023-271,195,"OM Migration- (Site Contents) ""Proceed to"" Hyperlinks in Procedures are not working",Open,,,2016-07-21T10:12:04.000-0400,
BMO00023-272,196,"OM Migration- (Site Contents) Unable to access ""Announcements""",Open,,,2016-07-21T10:12:16.000-0400,
BMO00023-273,197,OM migration (Site Content) Warning message displayed for French Procedures pages,Open,,,2016-07-21T10:12:35.000-0400,
BMO00023-274,198,OM Migration- (Site Contents) Unable to add Feedback error  displayed,Open,,,2016-07-22T10:56:07.000-0400,
BMO00023-275,199,'OM Migration- (Site Contents) Unable to access MCFATD Executive Summaries,Open,,,2016-07-22T10:56:28.000-0400,
BMO00023-276,200,"OM Migration - ""Reports section not displayed on the left navigatiion bar",Open,,,2016-07-22T10:56:46.000-0400,